类别,序号,名称,规格,长度_mm,数量,备注,来源页码,识别置信度
支架,1,斜梁,C75×40×15×2.0,3948,2,Q355 B,1,1.00
支架,2,上立柱,Φ127×2.5,2050,2,Q355 B,1,1.00
支架,3,下立柱,Φ140×3.5,1700,2,,1,1.00
支架,4,前斜撑,C70×40×15×2.0,2114,2,Q355 B,1,1.00
支架,5,后斜撑,C70×40×15×2.0,2916,2,,1,1.00
支架,6,檩条,C115X50X15X2.0,8218,4,Q420 B,1,1.00
支架,7,檩托,L90×56×5,50,8,Q235 B,1,1.00
支架,8,抱箍,Φ140×80×5.0,,2,,1,1.00
支架,9,斜拉杆,Φ10,11400,1,,1,1.00
支架,10,撑杆,D24×2.0(Φ10),4200,1,Q355 B,1,1.00
支架,11,U型螺栓,M8,,32,Q235 B,1,1.00
支架,12,压块,,,32,6063-T5,1,1.00
支架,13,柱间拉杆,Φ10,,,Q235 B,1,1.00
支架,14,防水垫圈,Φ140,,2,,1,1.00
